,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVARBS326 TB_Glc_amp_kan 25uMIPTG_200nMaTet_82.mzXML,121647.593994141,48867.28515625,99715.8073730469,15953575.4658813,2648374.86791992,2670794.33154297,0.003063093,82,sample,-17.9969931993,-7.2716648451,-3.1824831774,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS326,0.1329798674,MVARBS326 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.948,1.884
MVARBS327 TB_Glc_amp_kan 25uMIPTG_200nMaTet_94.mzXML,665394.257080078,456811.709228516,362585.423095703,15805473.5960693,2631928.49267578,2625307.98779297,0.0289021209,94,sample,-8.688786714,1.4818887147,5.0214851321,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS327,1.2547448684,MVARBS327 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.298,2.49
MVARBS328 TB_Glc_amp_kan 25uMIPTG_200nMaTet_11.mzXML,120403.053710938,50757.5449829102,92041.5393066406,17725667.9395752,2978980.95214844,2977989.41015625,0.0028635054,11,sample,-18.068892303,-7.3392796597,-3.245852847,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS328,0.1243150512,MVARBS328 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.707,1.487
MVARBS329 TB_Glc_amp_kan 25uMIPTG_200nMaTet_23.mzXML,936173.553955078,652120.963867188,463434.107421875,16171245.0913086,2668096.75244141,2718390.87231445,0.0403259588,23,sample,-4.5734832158,5.35197149,8.6485876827,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS329,1.7506946993,MVARBS329 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.211,2.057
MVARBS330 TB_Glc_amp_kan 25uMIPTG_200nMaTet_35.mzXML,127211.274658203,49895.24609375,92343.9462890625,15035684.7735596,2482034.88085938,2527658.16796875,0.0033184552,35,sample,-17.9050019659,-7.1851551411,-3.1014049199,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS330,0.1440660574,MVARBS330 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.238,2.254
MVARBS331 TB_Glc_amp_kan 25uMIPTG_200nMaTet_47.mzXML,736917.045898438,501777.855834961,394356.733642578,15646976.5046387,2612082.35009766,2652878.71704102,0.0320686783,47,sample,-7.5480715958,2.5546314498,6.0268765246,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS331,1.392216496,MVARBS331 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.791,1.716
MVARBS332 TB_Glc_amp_kan 25uMIPTG_200nMaTet_59.mzXML,766652.799072266,540295.393798828,413164.891113281,17449182.4713135,2904983.85888672,2946560.13134766,0.0309639374,59,sample,-7.9460415333,2.1803755534,5.676118002,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS332,1.3442557263,MVARBS332 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.621,1.668
MVARBS333 TB_Glc_amp_kan 25uMIPTG_200nMaTet_71.mzXML,636541.616455078,411395.491638184,308536.194824219,14855957.8757324,2470316.09204102,2482750.07299805,0.0276922899,71,sample,-9.1246141546,1.0720311498,4.6373601649,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS333,1.2022217566,MVARBS333 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.557,1.665
MVARBS334 TB_Glc_amp_kan 25uMIPTG_200nMaTet_83.mzXML,772593.704833984,533099.309692383,411317.893066406,15356377.8256836,2525982.56689453,2592308.03881836,0.0347151728,83,sample,-6.5947030212,3.451191157,6.8671464075,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS334,1.5071103267,MVARBS334 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.802,1.82
MVARBS335 TB_Glc_amp_kan 25uMIPTG_200nMaTet_95.mzXML,119713.079101562,48475.5010375977,91872.515625,17120213.4504395,2849910.61108398,2857604.43945312,0.0028314776,95,sample,-18.080429921,-7.3501297797,-3.2560217504,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS335,0.1229246119,MVARBS335 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.258,1.724
